file,width,height,size
599.jpg,750.0,1095.0,821250.0
600.jpg,1173.0,1600.0,1876800.0
601.jpg,1000.0,1212.0,1212000.0
602.jpg,750.0,1044.0,783000.0
605.jpg,1100.0,1323.0,1455300.0
606.jpg,888.0,1118.0,992784.0
607.jpg,1050.0,973.0,1021650.0
608.jpg,1200.0,1120.0,1344000.0
609.jpg,940.0,1100.0,1034000.0
610.jpg,1000.0,1208.0,1208000.0
612.jpg,850.0,1076.0,914600.0
613.jpg,1175.0,850.0,998750.0
614.jpg,1183.0,850.0,1005550.0
615.jpg,856.0,691.0,591496.0
616.jpg,1311.0,1000.0,1311000.0
617.jpg,1250.0,741.0,926250.0
618.jpg,801.0,1150.0,921150.0
619.jpg,1025.0,867.0,888675.0
620.jpg,1030.0,881.0,907430.0
621.jpg,877.0,621.0,544617.0
622.jpg,1050.0,1250.0,1312500.0
623.jpg,1134.0,1300.0,1474200.0
624.jpg,1030.0,1383.0,1424490.0
625.jpg,1100.0,1320.0,1452000.0
627.jpg,825.0,1100.0,907500.0
628.jpg,920.0,1462.0,1345040.0
629.jpg,956.0,844.0,806864.0
630.jpg,910.0,1600.0,1456000.0
631.jpg,1238.0,1700.0,2104600.0
632.jpg,900.0,1207.0,1086300.0
633.jpg,530.0,720.0,381600.0
634.jpg,805.0,1069.0,860545.0
635.jpg,1050.0,1303.0,1368150.0
636.jpg,700.0,1404.0,982800.0
637.jpg,650.0,1211.0,787150.0
638.jpg,1424.0,678.0,965472.0
640.jpg,1274.0,656.0,835744.0
641.jpg,1200.0,1208.0,1449600.0
642.jpg,1200.0,1282.0,1538400.0
643.jpg,700.0,1513.0,1059100.0
644.jpg,700.0,1515.0,1060500.0
645.jpg,850.0,1260.0,1071000.0
646.jpg,800.0,1159.0,927200.0
647.jpg,1164.0,1150.0,1338600.0
648.jpg,900.0,1015.0,913500.0
650.jpg,729.0,900.0,656100.0
651.jpg,491.0,1170.0,574470.0
652.jpg,648.0,935.0,605880.0
653.jpg,700.0,1427.0,998900.0
654.jpg,900.0,1092.0,982800.0
655.jpg,700.0,1318.0,922600.0
656.jpg,900.0,1093.0,983700.0
657.jpg,425.0,1584.0,673200.0
667.jpg,900.0,1115.0,1003500.0
668.jpg,1300.0,1050.0,1365000.0
671.jpg,593.0,1000.0,593000.0
672.jpg,479.0,1000.0,479000.0
677.jpg,813.0,1070.0,869910.0
678.jpg,810.0,1082.0,876420.0
685.jpg,1000.0,1230.0,1230000.0
686.jpg,1100.0,1160.0,1276000.0
687.jpg,1100.0,1161.0,1277100.0
688.jpg,900.0,1133.0,1019700.0
689.jpg,904.0,1100.0,994400.0
690.jpg,1000.0,1168.0,1168000.0
691.jpg,1165.0,742.0,864430.0
692.jpg,1169.0,742.0,867398.0
693.jpg,1167.0,979.0,1142493.0
694.jpg,1168.0,978.0,1142304.0
695.jpg,801.0,1137.0,910737.0
696.jpg,1255.0,858.0,1076790.0
697.jpg,864.0,1200.0,1036800.0
698.jpg,1030.0,1008.0,1038240.0
699.jpg,1022.0,1003.0,1025066.0
700.jpg,1200.0,890.0,1068000.0
701.jpg,888.0,1400.0,1243200.0
702.jpg,700.0,1407.0,984900.0
703.jpg,750.0,1215.0,911250.0
704.jpg,1035.0,1200.0,1242000.0
705.jpg,2410.0,350.0,843500.0
706.jpg,800.0,538.0,430400.0
707.jpg,475.0,1400.0,665000.0
708.jpg,475.0,1400.0,665000.0
709.jpg,474.0,1400.0,663600.0
710.jpg,475.0,1400.0,665000.0
711.jpg,800.0,826.0,660800.0
712.jpg,1121.0,1100.0,1233100.0
713.jpg,1200.0,950.0,1140000.0
714.jpg,850.0,1103.0,937550.0
